日氨产量(t/day),吨氨成本均值(¥/t),风电效应平方和,光伏效应平方和,交互效应平方和,总平方和,风电贡献率(%),光伏贡献率(%),交互贡献率(%)
72,7228.33253789875,3241473.4281067224,39634055.548067026,72108.04535462164,42947637.02152838,7.547501219873558,92.28460119517088,0.16789758495554952
63,6575.459384979525,3536681.9083662583,49214938.560060784,89856.51622120815,52841476.98464827,6.693003508198209,93.13694727790995,0.17004921389179495
54,5970.538328540926,4037877.7535646805,55024966.102704875,93554.03597509317,59156397.89224462,6.825766776604301,93.01608627850315,0.15814694489259642
45,5363.3754239713335,4714400.1917806165,58153121.04015903,111599.60753596739,62979120.8394756,7.485655768039253,92.33714327067645,0.17720096128432494
36,4585.146813644723,6128461.157113856,66598657.743947245,86734.03114907822,72813852.93221019,8.416614298407561,91.46426821548738,0.11911748610505164
