日氨产量(t/day),年度总产量(t),年度净成本(¥),综合净吨氨成本(¥/t),全部达标天数(day),部分达标天数(day),全部不达标天数(day),平均购电量(MWh/day),平均售电量(MWh/day)
72,25920.0,187358379.3823356,7228.33253789875,270,90,0,614.2966583333333,33.55199166666667
63,22680.0,149131418.85133561,6575.459384979525,210,150,0,509.617025,53.37235833333333
54,19440.0,116067265.10683562,5970.538328540927,210,135,15,417.36071666666663,85.61605000000002
45,16200.0,86886681.86833562,5363.375423971334,15,285,60,355.4930416666666,148.248375
36,12960.0,59423502.70483561,4585.146813644723,0,315,45,297.9932,215.2485333333333
