日氨产量(t/day),指标,最小值,下四分位数,中位数,平均值,上四分位数,最大值
72,净吨氨成本(¥/t),4935.962453234399,6096.407351498288,7450.727369901066,7228.33253789875,8369.703419901065,9318.906425456622
72,购电量(MWh),353.50199999999995,477.59504999999996,630.246,614.2966583333333,735.905,886.7760000000001
72,售电量(MWh),0.0,0.0,0.0,33.55199166666667,29.7908,173.706
72,新能源自发自用比例(%),60.38288380749071,91.02080730917865,99.99999999999991,91.25563153400269,99.99999999999994,99.99999999999997
72,新能源供电占比(%),16.082216670451967,30.359508668332197,40.35827844651375,41.8676036856184,54.804011469452654,66.54724051782877
72,上网电量比例(%),0.0,0.0,0.0,4.372184232998642,4.489596345410663,19.808558096254636
63,净吨氨成本(¥/t),4054.66032750598,5325.838106474233,6813.487501315503,6575.459384979525,7891.298589410741,8848.857138617092
63,购电量(MWh),246.832,374.00224999999995,523.8971,509.617025,632.3446,765.6318
63,售电量(MWh),3.3558,15.2004,23.4642,53.37235833333333,56.78535,192.50639999999999
63,新能源自发自用比例(%),53.0139855019404,80.55828832565149,88.09991880210174,82.60013505418938,91.49805717345225,96.05069905380594
63,新能源供电占比(%),17.870052133616532,32.167878826886344,43.80113063439961,45.332965930788866,59.880473493381395,73.52212996932053
63,上网电量比例(%),1.9746504730970198,4.250971413273874,5.950040598949132,8.699932472905312,9.72085583717426,23.493007249029798
54,净吨氨成本(¥/t),3272.9075098680873,4654.84092283105,6260.607762645865,5970.538328540926,7347.032448756976,8288.996083942162
54,购电量(MWh),188.95420000000001,280.2698,419.8419,417.36071666666663,539.72455,652.9942
54,售电量(MWh),15.2182,44.0412,56.454100000000004,85.61605000000002,92.3836,258.15819999999997
54,新能源自发自用比例(%),41.12187601206033,59.568398644633355,68.64514877275403,67.39994018052282,78.1418256179822,91.23953400075932
54,新能源供电占比(%),19.15587084633289,33.17925147328281,48.02135641063735,48.32854000561252,65.30111919972269,76.60647253998911
54,上网电量比例(%),4.3802329996203255,10.929087191008904,15.677425613622987,16.300029909738594,20.215800677683312,29.43906199396983
45,净吨氨成本(¥/t),2548.4323451750383,4005.293340730593,5634.526545175037,5363.3754239713335,6778.96667850837,7777.185720730594
45,购电量(MWh),188.95420000000001,251.00135,345.05819999999994,355.4930416666666,451.11185,550.1264
45,售电量(MWh),36.8504,80.0391,103.0198,148.248375,181.45260000000002,382.65819999999997
45,新能源自发自用比例(%),12.727169059120294,30.826758404841286,48.23137680101236,42.283154772254676,53.394245523271366,65.8302859540795
45,新能源供电占比(%),19.480343081291533,33.97268083487016,49.49530165978748,47.967998350946004,63.262001990574035,72.34357893504288
45,上网电量比例(%),17.084857022960254,23.302877238364324,25.88431159949381,28.858422613872662,34.586620797579364,43.63641547043986
36,净吨氨成本(¥/t),1461.7195981354637,3167.511298829909,4863.385610635463,4585.146813644723,6075.9945523021315,7216.48284257991
36,购电量(MWh),188.95420000000001,240.8102,285.4782,297.9932,349.73040000000003,427.5886
36,售电量(MWh),38.8126,115.44885,161.7543,215.2485333333333,287.86875,507.15819999999997
36,新能源自发自用比例(%),-15.667537893819755,8.701524050124629,20.301729455338496,17.494072702625726,30.83917166375815,54.32307112931321
36,新能源供电占比(%),23.46996706758305,37.40506872852233,48.904961340206185,46.66502004581901,56.89966351660938,66.180877720504
36,上网电量比例(%),22.838464435343404,34.58041416812093,39.849135272330756,41.25296364868714,45.649237974937684,57.83376894690988
