场景,日氨产量(t/day),开机时间(h),设备利用率(%),碱性电解槽利用率(%),PEM电解槽利用率(%),合成氨装置利用率(%),最优生产时段,常规负荷电量(MWh),生产负荷电量(MWh),总负荷电量(MWh),风电电量(MWh),光伏电量(MWh),新能源发电量(MWh),购电量(MWh),售电量(MWh),新能源自发自用比例(%),新能源供电占比(%),上网电量比例(%),新能源自发自用比例达标,新能源供电占比达标,上网电量比例达标,达标指标数,达标状态,风电发电成本(¥/day),光伏发电成本(¥/day),购电成本(¥/day),售电收入(¥/day),碱性电解槽运维成本(¥/day),PEM电解槽运维成本(¥/day),合成氨装置运维成本(¥/day),合成氨装置资本分摊(¥/day),日净成本(¥/day),净吨氨成本(¥/t),求解器,求解状态,MIP间隙,MIP节点数
典型场景,72,24,100.0,100.0,100.0,100.0,00:00-24:00,60.72,996.0,1056.7199999999998,245.048,358.4,603.448,493.9522,40.680199999999985,86.51741326510319,53.25609432962375,6.741293367448395,是,是,是,3,全部达标,36757.2,43008.0,263313.89428,15373.047579999995,48000.0,72000.0,72.0,3287.671232876712,451065.7179328767,6264.801637956622,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0
典型场景,63,21,87.5,87.5,87.5,87.5,00:00-18:00、21:00-24:00,60.72,871.5,932.22,245.048,358.4,603.448,376.0424,47.27039999999998,84.33323169519164,59.66162493831928,7.833384152404181,是,是,是,3,全部达标,36757.2,43008.0,168703.07076,17863.484159999993,42000.0,63000.0,63.0,3287.671232876712,338955.4578328767,5380.2453624266145,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1
典型场景,54,18,75.0,75.0,75.0,75.0,00:00-17:00、23:00-24:00,60.72,747.0,807.7199999999999,245.048,358.4,603.448,264.1404,59.86839999999998,80.15789264360806,67.29802406774625,9.921053678195964,是,是,是,3,全部达标,36757.2,43008.0,100733.79595999997,22624.268359999995,36000.0,54000.0,54.0,3287.671232876712,251216.3988328767,4652.155533942161,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1
典型场景,45,15,62.5,62.5,62.5,62.5,00:00-07:00、08:00-15:00、23:00-24:00,60.72,622.5,683.22,245.048,358.4,603.448,227.684,147.912,50.9777147326696,66.6748631480343,24.511142633665205,否,是,否,1,部分达标,36757.2,43008.0,78590.1786,55895.944800000005,30000.0,45000.0,45.0,3287.671232876712,180792.10503287672,4017.602334063927,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1
典型场景,36,12,50.0,50.0,50.0,50.0,00:00-07:00、11:00-15:00、23:00-24:00,60.72,498.0,558.72,245.048,358.4,603.448,225.3022,270.0302,10.504235659079168,59.675293528064145,44.747882170460414,否,是,否,1,部分达标,36757.2,43008.0,77143.47327999999,102044.41258,24000.0,36000.0,36.0,3287.671232876712,118187.9319328767,3282.998109246575,SciPy HiGHS MILP,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1
