敏感性类型,参数,最优储能容量(MWh),日氨产量(t/day),弃电率(%),净吨氨成本(¥/t)
储能时长,1 h/1C,3.29783854,47.300452575088116,19.22006876392036,4260.94265962182
储能时长,2 h/0.5C,1.15424349,47.17779595746915,19.64976830642698,4256.925726338417
储能时长,4 h/0.25C,3.29783854,47.30044201933966,19.412585199510374,4259.421391036974
日自损耗率,0.1%/day,3.29783854,47.30049073373314,19.33128093877008,4260.0623741628715
日自损耗率,0.2%/day,1.15424349,47.17779595746915,19.64976830642698,4256.925726338417
日自损耗率,0.3%/day,3.29783854,47.300409112329206,19.331105653160616,4260.0660381068365
储能投资成本,0.8×,1.15424349,47.17779595746915,19.64976830642698,4256.031997733728
储能投资成本,1.0×,1.15424349,47.17779595746915,19.64976830642698,4256.925726338417
储能投资成本,1.2×,1.15424349,47.17779595746915,19.64976830642698,4257.819454943107
