运行模式,场景,风电场景,光伏场景,日氨产量(t/day),新能源发电量(MWh),弃电量(MWh),弃电率(%),常规负荷失供量(MWh),能源自治率(%),新能源利用率(%),碱性电解槽利用率(%),PEM电解槽利用率(%),制氢装置平均利用率(%),合成氨装置利用率(%),储能容量(MWh),充电量(MWh),放电量(MWh),购电量(MWh),售电量(MWh),风电发电成本(¥/day),光伏发电成本(¥/day),碱性电解槽运维成本(¥/day),PEM电解槽运维成本(¥/day),合成氨装置运维成本(¥/day),合成氨装置资本分摊(¥/day),储能运维成本(¥/day),储能资本分摊(¥/day),购电成本(¥/day),售电收入(¥/day),日净成本(¥/day),净吨氨成本(¥/t),C-rate,日自损耗率(%)
离网配置储能,风电3-光伏3,3,3,22.734595416066142,356.52000000000004,0.0,0.0,0.0,100.0,100.0,0.41667129769071093,58.84008817719284,29.628379737441772,31.575826966758527,1.15424349,0.0002568125257091134,0.0,0.0,0.0,40710.00000000001,10214.400000000001,200.00222289154124,42364.86348757884,22.734595416066142,3287.671232876712,0.0,210.82072876712328,0.0,0.0,97010.4922675303,4267.086811625189,0.5,0.2
离网配置储能,风电3-光伏4,3,4,17.7815184852969,291.88,0.0,0.0,0.0,100.0,100.0,0.0,46.30603772212733,23.153018861063664,24.69655345180125,1.15424349,0.0002596911402559243,0.0,0.0,0.0,40710.00000000001,2457.6000000000004,0.0,33340.347159931676,17.7815184852969,3287.671232876712,0.0,210.82072876712328,0.0,0.0,80024.22064006081,4500.415456994343,0.5,0.2
离网配置储能,风电4-光伏1,4,1,47.17779595746915,876.924,172.31353422345177,19.64976830642698,0.0,100.0,80.35023169357302,49.72492629802429,79.34953312847128,64.5372297132478,65.52471660759605,1.15424349,3.911671564903741,3.167509014268993,0.0,0.0,55122.6,61132.8,23867.96462305166,57131.66385249932,47.17779595746915,3287.671232876712,31.675090142689932,210.82072876712328,0.0,0.0,200832.373323295,4256.925726338417,,
离网配置储能,风电4-光伏2,4,2,40.73475892114361,618.364,8.677044493439594,1.4032260114495012,0.0,100.0,98.5967739885505,31.666931747069803,78.3715360784587,55.01923391276425,56.5760540571439,1.15424349,2.180306710769566,1.7653762273179148,0.0,0.0,55122.6,30105.6,15200.127238593506,56427.50597649027,40.73475892114361,3287.671232876712,17.653762273179147,210.82072876712328,0.0,0.0,160412.7136979219,3937.981172503239,0.5,0.2
离网配置储能,风电4-光伏3,4,3,29.90150937769778,452.60400000000004,0.07267815499997468,0.016057780090316186,0.0,100.0,99.98394221990968,4.968925639172249,73.52070407014556,39.24481485465891,41.52987413569136,1.15424349,0.5771216449999842,0.46677709357450403,0.0,0.0,55122.6,10214.400000000001,2385.0843068026793,52934.9069305048,29.90150937769778,3287.671232876712,4.6677709357450405,210.82072876712328,0.0,0.0,124190.05247926476,4153.303798499639,0.5,0.2
离网配置储能,风电4-光伏4,4,4,25.087332218891703,387.964,0.07267815499997018,0.018733221381357596,0.0,100.0,99.98126677861863,1.4584586792274912,64.05544297570636,32.75695082746692,34.84351697068292,1.15424349,0.8433215450000542,0.6823937531287005,0.0,0.0,55122.6,2457.6000000000004,700.0601660291958,46119.91894250858,25.087332218891703,3287.671232876712,6.823937531287005,210.82072876712328,0.0,0.0,107930.58233993177,4302.194485974718,0.5,0.2
离网配置储能,风电5-光伏1,5,1,44.22704263083202,819.4200000000001,157.21161978030423,19.185719140404704,0.0,100.0,80.8142808595953,43.22501881688266,77.35269871968605,60.288858768284356,61.426448098377804,1.15424349,3.163944782707362,2.5621300539575618,0.0,0.0,46497.0,61132.8,20748.009032103677,55693.94307817395,44.22704263083202,3287.671232876712,25.621300539575618,210.82072876712328,0.0,0.0,187640.0924150919,4242.655200379197,0.5,0.2
离网配置储能,风电5-光伏2,5,2,36.51450414527046,560.8599999999999,8.824277612572956,1.5733476469302425,0.0,100.0,98.42665235306976,27.386034941149553,71.12707397146927,49.25655445630941,50.71458909065341,1.15424349,1.0261223874270509,0.8305748532056452,0.0,0.0,46497.0,30105.6,13145.296771751786,51211.493259457864,36.51450414527046,3287.671232876712,8.305748532056452,210.82072876712328,0.0,0.0,144502.70224553082,3957.4055742517194,0.5,0.2
离网配置储能,风电5-光伏3,5,3,25.60682828208934,395.1,0.13707815499997336,0.03469454695013246,0.0,100.0,99.96530545304987,2.0737565445603487,64.86991167478398,33.471834109672166,35.565039280679635,1.15424349,0.5771216449999825,0.4672213938975468,0.0,0.0,46497.0,10214.400000000001,995.4031413889674,46706.33640584447,25.60682828208934,3287.671232876712,4.672213938975468,210.82072876712328,0.0,0.0,107941.91055109835,4215.356519831008,0.5,0.2
离网配置储能,风电5-光伏4,5,4,20.749210800681524,330.4599999999999,0.0,0.0,0.0,100.0,100.0,0.0,54.03440312677474,27.01720156338737,28.818348334279897,1.15424349,0.00025959114014066485,0.0,0.0,0.0,46497.0,2457.6000000000004,0.0,38904.77025127782,20.749210800681524,3287.671232876712,0.0,210.82072876712328,0.0,0.0,91378.61142372234,4403.956001098651,0.5,0.2
离网配置储能,风电6-光伏1,6,1,41.57334016205647,715.76,89.47082601023902,12.500115403241173,0.0,100.0,87.49988459675883,40.98510901221732,72.40193628633186,56.693522649274584,57.74075022507842,1.15424349,2.7574284557695132,2.2327419800729498,0.0,0.0,30948.0,61132.8,19672.852325864314,52129.39412615894,41.57334016205647,3287.671232876712,22.327419800729498,210.82072876712328,0.0,0.0,167445.4391736299,4027.711954846859,0.5,0.2
离网配置储能,风电6-光伏2,6,2,29.774493753033255,457.20000000000005,0.0,0.0,0.0,100.0,100.0,15.68554036870739,63.81289632590511,39.749218347306254,41.35346354587952,1.15424349,0.00025698934326445766,0.0,0.0,0.0,30948.0,30105.6,7529.059376979547,45945.28535465168,29.774493753033255,3287.671232876712,0.0,210.82072876712328,0.0,0.0,118056.21118702811,3965.011535250745,0.5,0.2
离网配置储能,风电6-光伏3,6,3,17.74767233145075,291.44,0.0,0.0,0.0,100.0,100.0,0.0,46.217896696486285,23.108948348243143,24.64954490479271,1.15424349,0.00025969114020085726,0.0,0.0,0.0,30948.0,10214.400000000001,0.0,33276.88562147012,17.74767233145075,3287.671232876712,0.0,210.82072876712328,0.0,0.0,77955.52525544542,4392.436585461407,0.5,0.2
离网配置储能,风电6-光伏4,6,4,12.103088742526817,226.8,8.349472605079828,3.6814253108817585,1e-07,99.99999983530962,96.31857468911824,0.0,31.518460266996914,15.759230133498457,16.809845475731688,1.15424349,2.052127394920172,1.6617535528485874,0.0,0.0,30948.0,2457.6000000000004,0.0,22693.291392237777,12.103088742526817,3287.671232876712,16.617535528485874,210.82072876712328,0.0,0.0,59626.10397815263,4926.519605581626,0.5,0.2
