运行模式,年氨产量(t/year),年综合净成本(¥/year),综合净吨氨成本(¥/t),全年弃电量(MWh/year),全年负荷失供量(MWh/year),全年购电量(MWh/year),全年售电量(MWh/year),新能源利用率(%),平均能源自治率(%),制氢装置平均利用率(%),合成氨装置平均利用率(%)
离网无储能,10148.55535785953,42667953.15822358,4204.337627737278,13893.062999999998,8.291999999999993,0.0,0.0,91.89205007822534,99.96206631532719,37.769928044291156,39.15337715223585
离网配置储能,10219.576979626367,42889300.599224724,4196.778465951023,12863.205654747306,6e-06,0.0,0.0,92.49307173787524,99.9999999725516,38.01885988061377,39.42738032263259
并网同产量,10219.57697962637,35585611.97761759,3482.1022483181696,0.0,0.0,74597.83527111316,84990.16906046623,100.0,100.0,38.77019609977831,39.42738032263261
