运行模式,场景,风电场景,光伏场景,日氨产量(t/day),新能源发电量(MWh),弃电量(MWh),弃电率(%),常规负荷需求量(MWh),常规负荷失供量(MWh),常规负荷供电保障率(%),园区终端用电量(MWh),本地电力自给率(%),新能源利用率(%),碱性电解槽利用率(%),PEM电解槽利用率(%),制氢装置平均利用率(%),合成氨装置利用率(%),储能容量(MWh),充电量(MWh),放电量(MWh),购电量(MWh),售电量(MWh),风电发电成本(¥/day),光伏发电成本(¥/day),碱性电解槽运维成本(¥/day),PEM电解槽运维成本(¥/day),合成氨装置运维成本(¥/day),合成氨装置资本分摊(¥/day),储能运维成本(¥/day),储能资本分摊(¥/day),购电成本(¥/day),售电收入(¥/day),日净成本(¥/day),净吨氨成本(¥/t),C-rate,日自损耗率(%),是否最优容量
离网配置储能,风电4-光伏1,4,1,46.890730390051075,876.924,176.19714562873986,20.092635807520363,60.72,0.0,100.0,700.3280000915207,100.0,79.90736419247963,50.04750836809477,78.31970723534171,65.12601443062648,65.1260144306265,0.61867451,2.0966555153864608,1.6978012356471612,0.0,0.0,55122.6,61132.8,24022.804016685488,56390.189209446035,46.890730390051075,3287.671232876712,16.978012356471613,112.9999105022831,0.0,0.0,200132.93311225704,4268.070286973388,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,46.891529241359976,876.924,176.18080751514577,20.09077269126467,60.72,0.0,100.0,700.3383851585364,100.0,79.90922730873532,50.04750836809477,78.32178757729199,65.12712394633328,65.1271239463333,0.62790845,2.1279488684122927,1.7231415420946363,0.0,0.0,55122.6,61132.8,24022.804016685488,56391.687055650225,46.891529241359976,3287.671232876712,17.231415420946362,114.68647488584475,0.0,0.0,200136.3717247606,4268.0709066795225,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,46.891529241359976,876.924,176.18080751514577,20.09077269126467,60.72,0.0,100.0,700.3383851585364,100.0,79.90922730873532,50.04750836809477,78.32178757729199,65.12712394633328,65.1271239463333,0.62790845,2.1279488684122927,1.7231415420946363,0.0,0.0,55122.6,61132.8,24022.804016685488,56391.687055650225,46.891529241359976,3287.671232876712,17.231415420946362,114.68647488584475,0.0,0.0,200136.3717247606,4268.0709066795225,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.14789897430809,876.924,172.90661750561748,19.717400539341774,60.72,0.0,100.0,703.6711916850603,100.0,80.28259946065822,50.04750836509215,78.989417092805,65.48319301987233,65.48319301987235,0.62975524,1.8193299430162113,1.473139133694165,0.0,0.0,55122.6,61132.8,24022.80401524423,56872.3803068196,47.14789897430809,3287.671232876712,14.73139133694165,115.0237881278539,0.0,0.0,200615.15863337964,4255.017996511344,0.5,0.2,True
离网配置储能,风电4-光伏1,4,1,47.1480012175323,876.924,172.90427327436083,19.717133215006182,60.72,0.0,100.0,703.672520846975,100.0,80.28286678499381,50.04750836509212,78.98968335120139,65.48333502435041,65.48333502435042,0.63160203,1.8246652253946385,1.4774593467306083,0.0,0.0,55122.6,61132.8,24022.80401524422,56872.572012865,47.1480012175323,3287.671232876712,14.774593467306083,115.36110136986302,0.0,0.0,200615.73095704062,4255.020908127922,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.1481034607565,876.924,172.90192904310433,19.716865890670608,60.72,0.0,100.0,703.6738500088898,100.0,80.2831341093294,50.0475083650921,78.98994960959777,65.48347702882846,65.48347702882847,0.63344882,1.8300005077724655,1.4817795597665646,0.0,0.0,55122.6,61132.8,24022.804015244208,56872.76371891039,47.1481034607565,3287.671232876712,14.817795597665647,115.69841461187215,0.0,0.0,200616.3032807016,4255.023819731871,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.14820570398071,876.924,172.89958481184618,19.716598566334845,60.72,0.0,100.0,703.6751791708043,100.0,80.28340143366515,50.04750836509208,78.99021586799417,65.48361903330652,65.48361903330654,0.63529561,1.835335790158675,1.4860997728093124,0.0,0.0,55122.6,61132.8,24022.804015244197,56872.9554249558,47.14820570398071,3287.671232876712,14.860997728093125,116.03572785388127,0.0,0.0,200616.8756043627,4255.026731323196,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.14830794720491,876.924,172.89724057786572,19.716331241688643,60.72,0.0,100.0,703.676508332719,100.0,80.28366875831135,50.04750836509206,78.99048212639055,65.48376103778459,65.4837610377846,0.6371424,1.8406710868781104,1.4904199974629408,0.0,0.0,55122.6,61132.8,24022.804015244186,56873.14713100119,47.14830794720491,3287.671232876712,14.904199974629408,116.37304109589041,0.0,0.0,200617.44792813982,4255.029642904354,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.14830794720491,876.924,172.89724057786572,19.716331241688643,60.72,0.0,100.0,703.676508332719,100.0,80.28366875831135,50.04750836509206,78.99048212639055,65.48376103778459,65.4837610377846,0.6371424,1.8406710868781104,1.4904199974629408,0.0,0.0,55122.6,61132.8,24022.804015244186,56873.14713100119,47.14830794720491,3287.671232876712,14.904199974629408,116.37304109589041,0.0,0.0,200617.44792813982,4255.029642904354,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.14841019042912,876.924,172.89489634933452,19.71606391766385,60.72,0.0,100.0,703.6778374946336,100.0,80.28393608233615,50.04750836509205,78.99074838478693,65.48390304226264,65.48390304226267,0.63898919,1.846006354907148,1.494740198875414,0.0,0.0,55122.6,61132.8,24022.804015244183,56873.338837046584,47.14841019042912,3287.671232876712,14.947401988754141,116.71035433789953,0.0,0.0,200618.02025168456,4255.0325544679545,0.5,0.2,False
