场景,风电场景,光伏场景,日氨产量(t/day),购电量(MWh)_问题二,售电量(MWh)_问题二,最大购电功率(MW)_问题二,最大反送功率(MW)_问题二,交换功率峰谷差(MW)_问题二,最大爬坡功率(MW/h)_问题二,交换功率标准差(MW)_问题二,购电量(MWh)_问题三,售电量(MWh)_问题三,最大购电功率(MW)_问题三,最大反送功率(MW)_问题三,交换功率峰谷差(MW)_问题三,最大爬坡功率(MW/h)_问题三,交换功率标准差(MW)_问题三,购电量(MWh)_变化,售电量(MWh)_变化,最大购电功率(MW)_变化,最大反送功率(MW)_变化,交换功率峰谷差(MW)_变化,最大爬坡功率(MW/h)_变化,交换功率标准差(MW)_变化
风电1-光伏1,1,1,36,233.2102,436.2542,39.7882,60.2638,100.052,65.32600000000001,31.77393535272093,233.21019950133007,446.25419956155594,39.78820000000001,50.9622,90.75040000000001,54.925999561555905,30.210904435955634,-4.986699195796973e-07,9.99999956155591,7.105427357601002e-15,-9.3016,-9.301599999999993,-10.400000438444103,-1.563030916765296
风电1-光伏1,1,1,45,233.2102,311.75419999999997,39.7882,50.9622,90.75040000000001,65.32600000000001,26.063713262865846,233.21019971831174,325.28963927875145,39.78820000000001,47.3502,87.13840000000002,43.10820000000001,27.16963444551852,-2.8168824428576045e-07,13.535439278751483,7.105427357601002e-15,-3.612000000000002,-3.6119999999999948,-22.217799999999997,1.105921182652672
风电1-光伏1,1,1,54,235.0722,189.1162,39.7882,27.5642,67.3524,43.108200000000004,20.798427251410676,233.21019971830356,192.21821070731468,39.78820000000001,34.758,74.54620000000001,43.10820000000001,21.784674646923076,-1.862000281696453,3.1020107073146903,7.105427357601002e-15,7.193800000000003,7.19380000000001,7.105427357601002e-15,0.9862473955124003
风电1-光伏1,1,1,63,326.62620000000004,156.1702,39.7882,26.650200000000005,66.4384,41.330200000000005,22.071271464256178,302.60170328002334,135.324,39.78820000000001,26.650200000000005,66.43840000000002,37.43019987857299,21.0139684810459,-24.024496719976696,-20.846199999999982,7.105427357601002e-15,0.0,1.4210854715202004e-14,-3.900000121427013,-1.0573029832102776
风电1-光伏1,1,1,72,430.28,135.324,39.7882,26.650200000000005,66.4384,23.826000000000008,23.015914084220558,430.28,135.324,39.7882,26.650200000000005,66.4384,23.826000000000008,23.015914084220558,0.0,0.0,0.0,0.0,0.0,0.0,0.0
风电1-光伏2,1,2,36,262.5022,206.98620000000003,39.7882,35.078,74.8662,57.006,23.240344098117156,247.29019950132096,201.774199561548,39.78820000000001,32.74380000000001,72.53200000000001,57.006,22.47505403896732,-15.21200049867906,-5.212000438452037,7.105427357601002e-15,-2.3341999999999956,-2.3341999999999956,0.0,-0.7652900591498373
风电1-光伏2,1,2,45,298.3182,118.3022,39.7882,32.74380000000001,72.53200000000001,57.006,19.94459200006079,247.290199625777,78.5739523730299,39.78819962577698,14.395999999999995,54.18419962577698,43.10819962577698,17.607139077686647,-51.028000374222984,-39.7282476269701,-3.7422302057166235e-07,-18.347800000000014,-18.347800374223034,-13.897800374223017,-2.337452922374144
风电1-光伏2,1,2,54,342.7184,38.2024,39.7882,12.844199999999995,52.6324,43.108200000000004,15.209425327700218,301.35933184856333,7.450200000000017,39.78820000000001,7.450200000000002,47.23840000000001,26.768868293892726,14.503916599366157,-41.359068151436645,-30.75219999999998,7.105427357601002e-15,-5.393999999999993,-5.393999999999984,-16.339331706107277,-0.7055087283340615
风电1-光伏2,1,2,63,448.9924,19.9764,39.7882,7.450200000000002,47.238400000000006,41.330200000000005,15.000879975817716,433.8277941744491,7.4502000000000095,39.78820000000001,7.450200000000002,47.23840000000001,33.04060558999159,14.877254802848851,-15.164605825550893,-12.526199999999992,7.105427357601002e-15,0.0,7.105427357601002e-15,-8.289594410008412,-0.12362517296886466
风电1-光伏2,1,2,72,560.9662000000001,7.450200000000002,39.7882,7.450200000000002,47.238400000000006,15.506,13.587408771808635,560.9662000000001,7.450200000000002,39.7882,7.450200000000002,47.238400000000006,15.506,13.587408771808635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
