日氨产量(t/day),场景数,购电平均变化(MWh),购电减少场景数,售电平均变化(MWh),售电减少场景数,峰谷差平均变化(MW),峰谷差减少场景数,最大爬坡平均变化(MW/h),爬坡减少场景数
72.0,24,2.3684757858670005e-15,0,2.6645352591003757e-15,0,-1.4802973661668753e-16,0,2.9605947323337506e-16,0
63.0,24,-26.005893971498406,24,-19.78995,24,-7.686066677226581,21,-14.443827900171007,23
54.0,24,-42.59479067656187,24,-34.766180296231624,21,-7.308047035546572,18,-7.408846653899677,22
45.0,24,-59.577464833786415,24,-45.42234499168086,18,-14.49956668225929,23,-14.796225536345291,24
36.0,24,-49.43488375364709,24,-39.33071703585824,15,-6.689983410021987,18,-5.786450039046589,15
