代表日氨产量(t/day),等效园区数量,聚合方式,购电量(MWh),售电量(MWh),最大购电功率(MW),最大反送功率(MW),交换功率峰谷差(MW),最大爬坡功率(MW/h),交换功率标准差(MW),最大购电功率(MW)较同步削减率(%),最大反送功率(MW)较同步削减率(%)
36.0,1,场景多样化期望,237.21769957670833,164.57719962783054,34.65953333333332,18.91773322624514,53.57726655957846,34.85982494268477,19.482442885423776,12.889918786641985,71.10384733572869
36.0,1,同步运行上界,382.1318,518.0939995615524,39.78820000000001,65.46799999999999,98.56179999999999,57.006,32.55462816952513,0.0,0.0
36.0,5,场景多样化期望,1186.0884978835415,822.8859981391527,173.2976666666666,94.5886661312257,267.8863327978923,174.29912471342385,97.41221442711888,12.889918786641996,71.10384733572869
36.0,5,同步运行上界,1910.659,2590.4699978077624,198.94100000000006,327.3399999999999,492.80899999999997,285.03,162.77314084762565,0.0,0.0
36.0,10,场景多样化期望,2372.176995767083,1645.7719962783053,346.5953333333332,189.1773322624514,535.7726655957846,348.5982494268477,194.82442885423777,12.889918786641996,71.10384733572869
36.0,10,同步运行上界,3821.318,5180.939995615525,397.8820000000001,654.6799999999998,985.6179999999999,570.06,325.5462816952513,0.0,0.0
36.0,20,场景多样化期望,4744.353991534166,3291.5439925566106,693.1906666666664,378.3546645249028,1071.5453311915692,697.1964988536954,389.64885770847553,12.889918786641996,71.10384733572869
36.0,20,同步运行上界,7642.636,10361.87999123105,795.7640000000002,1309.3599999999997,1971.2359999999999,1140.12,651.0925633905026,0.0,0.0
