场景,日氨产量(t/day),问题二日净成本(¥/day),问题二净吨氨成本(¥/t),问题二购电量(MWh),问题二售电量(MWh),问题二新能源自发自用比例(%),问题二新能源供电占比(%),问题二上网电量比例(%),问题二达标指标数,问题二达标状态,问题三日净成本(¥/day),问题三净吨氨成本(¥/t),问题三购电量(MWh),问题三售电量(MWh),问题三新能源自发自用比例(%),问题三新能源供电占比(%),问题三上网电量比例(%),问题三达标指标数,问题三达标状态,日成本节约(¥/day),相对成本节约率(%),吨氨成本下降(¥/t),购电量变化(MWh),售电量变化(MWh),新能源自发自用比例(%)变化,新能源供电占比(%)变化,上网电量比例(%)变化,达标指标数变化
风电2-光伏1,72,420187.3116328767,5835.934883789954,487.428,89.61199999999998,72.79967946772214,53.87349534408359,13.60016026613892,3,全部达标,420187.3116328767,5835.934883789954,487.42799999999994,89.612,72.79967946772217,53.87349534408358,13.600160266138921,3,全部达标,0.0,0.0,0.0,-5.684341886080802e-14,1.4210854715202004e-14,2.842170943040401e-14,-7.105427357601002e-15,1.7763568394002505e-15,0
风电2-光伏1,63,312845.03553287673,4965.794214807567,380.7502,107.43419999999998,67.39002950353924,59.15661539121667,16.30498524823039,3,全部达标,308259.4491385353,4893.0071291831,360.77759338574776,90.07999999999998,72.65762539004164,61.1900844455589,13.671187304979176,3,全部达标,4585.58639434143,1.4657692702493061,72.78708562446718,-19.972606614252243,-17.35419999999999,5.267595886502406,2.033469054342234,-2.6337979432512153,0
风电2-光伏1,54,228721.5654328767,4235.584545053272,284.6024,135.7864,58.784162791544745,64.7647204476799,20.607918604227624,1,部分达标,223190.85352892935,4133.163954239432,263.2563996159118,119.3802347807471,63.763997553286345,67.20691278290785,18.118001223356835,3,全部达标,5530.711903947347,2.4180981331952514,102.42059081384014,-21.3460003840882,-16.406165219252884,4.9798347617416,2.4421923352279435,-2.4899173808707893,2
风电2-光伏1,45,161765.1084328767,3594.78018739726,263.2564,238.9404,27.473380037152616,61.468282544422,36.263309981423696,1,部分达标,160037.01781100847,3556.3781735779658,263.2563997183109,252.45166345457477,23.372247412498687,60.69091151669872,38.313876293750646,1,部分达标,1728.0906218682358,1.0682715442219697,38.4020138192941,-2.8168909693704336e-07,13.51126345457476,-4.101132624653928,-0.7773710277232837,2.05056631232695,0
风电2-光伏1,36,99707.55843287669,2769.6544009132413,263.2564,363.4404,-10.31664703811176,52.88223081328752,55.15832351905589,1,部分达标,98428.5584428767,2734.1266234132418,263.2563995013251,373.44039956155154,-13.351990445209475,52.02354579198505,56.67599522260475,1,部分达标,1278.999989999982,1.2827512879688125,35.5277774999995,-4.986748649571382e-07,9.999999561551533,-3.0353434070977148,-0.8586850213024704,1.5176717035488565,0
风电2-光伏2,72,530334.7026328767,7365.759758789954,656.376,0.0,99.99999999999994,37.88553259141496,0.0,3,全部达标,530334.7026328767,7365.7597587899545,656.376,0.0,100.0,37.88553259141495,0.0,3,全部达标,0.0,0.0,-9.094947017729282e-13,0.0,0.0,5.684341886080802e-14,-7.105427357601002e-15,0.0,0
风电2-光伏2,63,419460.5865328768,6658.104548140901,541.3782,9.5022,95.2529824351058,41.92591877453821,2.3735087824470957,3,全部达标,413100.4313739195,6557.1497043479285,527.6644299180541,7.105427357601002e-15,99.99999999999994,43.140125358058626,1.7748304851829929e-15,3,全部达标,6360.15515895735,1.5162700294509908,100.9548437929725,-13.713770081945881,-9.502199999999993,4.747017564894136,1.214206583520415,-2.373508782447094,0
风电2-光伏2,54,330674.0436328767,6123.593400608828,424.912,17.536,91.23953400075932,47.393651265289954,4.3802329996203255,3,全部达标,316699.1677139102,5864.799402109448,397.7970219534609,0.4680000000000075,99.7662010670823,50.130315178608384,0.11689946645884726,3,全部达标,13974.875918966485,4.2261786759658015,258.79399849938,-27.11497804653908,-17.067999999999994,8.526667066322986,2.7366639133184307,-4.263333533161478,0
风电2-光伏2,45,248728.39953287668,5527.297767397259,351.27419999999995,68.3982,65.8302859540795,48.58549222797928,17.084857022960254,3,全部达标,227161.36411522882,5048.030313671751,278.2719391783776,3.2242000000000077,98.38928521471531,58.798439033782266,0.8053573926423294,3,全部达标,21567.035417647858,8.670917940272096,479.26745372550795,-73.00226082162237,-65.17399999999999,32.558999260635815,10.212946805802986,-16.279499630317925,0
风电2-光伏2,36,172647.3405328767,4795.759459246575,298.45219999999995,140.0762,30.02208101033113,46.58286798396336,34.98895949483444,1,部分达标,164611.34244375658,4572.537290104349,277.33639945744744,128.96039952297315,35.57520556173034,49.45757408321809,32.21239721913483,1,部分达标,8035.998089120112,4.6545739217974464,223.22216914222554,-21.115800542552506,-11.115800477026852,5.553124551399211,2.8747060992547304,-2.776562275699611,0
风电2-光伏3,72,631468.5266328767,8770.396203234399,822.136,0.0,99.99999999999991,22.199258081611028,0.0,2,部分达标,631468.5266328767,8770.396203234399,822.136,0.0,100.00000000000003,22.199258081611024,0.0,2,部分达标,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,-3.552713678800501e-15,0.0,0
风电2-光伏3,63,519779.3705328768,8250.466198934551,705.2182,7.5822,93.53562050267703,24.350668297183063,3.2321897486614604,2,部分达标,511825.8695376101,8124.220151390637,689.0645715147236,0.0,100.00000000000003,25.39753833162947,0.0,2,部分达标,7953.500995266717,1.530168653502505,126.24604754391476,-16.153628485276386,-7.5822,6.464379497322994,1.0468700344464068,-3.2321897486614604,0
风电2-光伏3,54,420066.9725328768,7779.018009868089,616.5142000000001,43.3782,63.01691504961974,23.67228742633586,18.491542475190123,2,部分达标,399242.8237736044,7393.3856254371185,568.4597417240375,0.46800000000000574,99.60099580534047,29.170580149493215,0.19950209732974364,2,部分达标,20824.148759272415,4.957340167380715,385.6323844309709,-48.05445827596259,-42.910199999999996,36.584080755720734,5.4982927231573555,-18.292040377860378,0
