日氨产量(t/day),年柔性价值(¥/year),单位吨氨柔性价值(¥/t),平均日成本节约(¥/day),中位日成本节约(¥/day),最小日成本节约(¥/day),最大日成本节约(¥/day),成本改善场景数,成本相同场景数,平均购电量变化(MWh),平均售电量变化(MWh)
72,4.3655745685100555e-09,1.6842494477276448e-13,1.2126596023639044e-11,0.0,0.0,5.820766091346741e-11,0,24,-9.473903143468002e-15,3.2751579226442118e-15
63,3641272.8567654253,160.5499495928318,10114.646824348403,9254.973824195331,4585.58639434143,16111.457107426715,24,0,-26.005893971498406,-19.78995
54,5780103.54950566,297.33042950132,16055.843193071278,16853.790548957433,1061.7843279120862,29252.923961342953,24,0,-42.59479067656187,-34.76618029623163
45,5996702.188863179,370.1668017816777,16657.5060801755,16883.388592428906,1728.0906218682358,35735.392799935624,24,0,-59.5774648337864,-45.42234499168088
36,4607378.507450579,355.5076008835323,12798.273631807162,10368.284345000007,1278.9999813816103,31531.276899999997,24,0,-49.43488375364709,-39.33071703585825
