日氨产量(t/day),问题二新能源自发自用比例(%),问题三新能源自发自用比例(%),新能源自发自用比例变化(百分点),问题二新能源供电占比(%),问题三新能源供电占比(%),新能源供电占比变化(百分点),问题二上网电量比例(%),问题三上网电量比例(%),上网电量比例变化(百分点),问题二全部达标天数(day),问题三全部达标天数(day),问题二部分达标天数(day),问题三部分达标天数(day),问题二全部不达标天数(day),问题三全部不达标天数(day)
72.0,85.90179393049775,85.90179393049779,4.263256414560601e-14,41.86760368561839,41.867603685618384,-7.105427357601002e-15,7.049103034751101,7.049103034751101,0.0,270,270,90,90,0,0
63.0,77.57347719699759,85.88901315614392,8.315535959146331,45.332965930788866,47.77440467133154,2.4414387405426723,11.213261401501198,7.055493421928029,-4.157767979573169,210,300,150,60,0,0
54.0,64.02500549748378,78.63340129512241,14.608395797638636,48.3285400056125,53.14789847052892,4.819358464916419,17.987497251258123,10.683299352438791,-7.304197898819332,210,240,135,120,15,0
45.0,37.707538766014494,56.793546720914456,19.086007954899962,47.96799835094601,55.77176659413862,7.803768243192607,31.14623061699276,21.60322663954277,-9.543003977449992,15,225,285,135,60,0
36.0,9.554752837331899,26.081120605349945,16.526367768018048,46.66502004581902,54.693557646832794,8.028537601013774,45.22262358133405,36.95943969732503,-8.263183884009017,0,165,315,195,45,0
