日氨产量(t/day),平均购电量(MWh/day),购电量最小值(MWh/day),购电量最大值(MWh/day),平均售电量(MWh/day),售电量最小值(MWh/day),售电量最大值(MWh/day),平均吨氨成本(¥/t),吨氨成本最小值(¥/t),吨氨成本最大值(¥/t),全年新能源自发自用比例(%),全年新能源供电占比(%),全年上网电量比例(%),全部达标天数(day),部分达标天数(day),全部不达标天数(day)
72.0,614.2966583333333,353.50199999999995,886.776,33.55199166666667,0.0,173.70600000000002,7228.33253789875,4935.962453234399,9318.906425456622,85.90179393049776,41.86760368561839,7.049103034751101,270,90,0
63.0,483.61113102850163,224.18823626373614,753.7045715232767,33.58240833333334,0.0,173.70600000000002,6414.909435386693,3908.969626564063,8751.088976862457,85.88901315614389,47.774404671331546,7.055493421928027,300,60,0
54.0,374.7659259901048,188.9541997183106,632.7759999613803,50.84986970376838,0.0,266.4598755424864,5673.207899039608,3253.2448371289743,8118.2159754425675,78.63340129512238,53.14789847052892,10.683299352438793,240,120,0
45.0,295.9155768328803,188.95419971831046,506.6960087912088,102.82603000831915,0.0,399.53130411391476,4993.208622189657,2500.475233126198,7550.376328578108,56.79354672091444,55.771766594138626,21.60322663954277,225,135,0
36.0,248.5583162463529,187.3899995013262,382.13179999999994,175.91781629747513,3.552713678800501e-15,518.0939995615524,4229.639212761191,1418.8523511910194,6901.816048135464,26.081120605349955,54.693557646832794,36.959439697325024,165,195,0
