代表类型,场景,日氨产量(t/day),新能源总发电量(MWh),高电价时段新能源占比(%),原始缺电面积(MWh),购电量(MWh),售电量(MWh),购电成本(¥/day),售电收入(¥/day),设备运维成本(¥/day),净吨氨成本(¥/t),新能源自发自用比例(%),新能源供电占比(%),上网电量比例(%),达标状态
最低成本,风电4-光伏1,36.0,876.924,42.33890280115495,0.0,187.3899995013262,518.0939995615524,64162.33582925409,195787.72243431068,63161.000015056576,1418.8523511910194,-18.161664992987422,65.69331047526862,59.080832496493706,部分达标
中位成本,风电2-光伏2,36.0,400.34400000000005,51.53567931578842,0.13819999999999988,277.33639945744744,128.96039952297315,94996.60617423,48734.134979731556,62536.00001638141,4572.537290104349,35.57520556173034,49.45757408321809,32.21239721913483,部分达标
最高成本,风电2-光伏4,36.0,169.94400000000002,35.91771407051735,0.13819999999999988,382.13179999999994,3.3558,159032.66332,1268.1568200000002,62536.0,6901.816048135464,96.05069905380591,30.359418282548482,1.9746504730970198,全部达标
