场景,风电场景,光伏场景,日氨产量(t/day),总负荷电量(MWh),常规负荷电量(MWh),生产负荷电量(MWh),碱性电解槽用电量(MWh),PEM电解槽用电量(MWh),合成氨装置用电量(MWh),碱性电解槽运行时数(h),PEM电解槽运行时数(h),合成氨装置运行时数(h),碱性电解槽利用率(%),PEM电解槽利用率(%),合成氨装置利用率(%),PEM制氢占比(%),高电价时段生产用电量(MWh),风电电量(MWh),光伏电量(MWh),新能源发电量(MWh),购电量(MWh),售电量(MWh),新能源自发自用比例(%),新能源供电占比(%),上网电量比例(%),新能源自发自用比例达标,新能源供电占比达标,上网电量比例达标,达标指标数,达标状态,风电发电成本(¥/day),光伏发电成本(¥/day),购电成本(¥/day),售电收入(¥/day),碱性电解槽运维成本(¥/day),PEM电解槽运维成本(¥/day),合成氨装置运维成本(¥/day),合成氨装置资本分摊(¥/day),日净成本(¥/day),净吨氨成本(¥/t),求解器,一级最优变动净成本(¥/day),二级最小购电量(MWh),三级最小售电量(MWh)
风电1-光伏3,1,3,72.0,1056.72,60.72,996.0,480.0,480.0,36.0,24,24,24,100.0,100.0,100.0,53.333333333333336,332.0,252.324,85.12,337.44399999999996,719.2760000000001,0.0,100.0,31.933151639033987,0.0,True,True,True,3,全部达标,37848.6,10214.400000000001,416340.8114,0.0,48000.0,72000.0,72.0,3287.671232876712,587763.4826328767,8163.381703234399,SciPy HiGHS MILP,536412.8114,719.276,0.0
风电1-光伏3,1,3,63.0,923.6485714285714,60.72,862.9285714285714,351.42857142857144,480.0,31.499999999999996,19,24,24,73.21428571428572,100.0,87.49999999999999,60.952380952380956,198.92857164230043,252.324,85.12,337.44399999999996,586.2045714285714,0.0,100.0,36.53380846766086,0.0,True,True,True,3,全部达标,37848.6,10214.400000000001,309564.2971559629,0.0,35142.857142857145,72000.0,62.99999999999999,3287.671232876712,468120.8255316968,7430.489294153917,SciPy HiGHS MILP,416770.1542571428,586.2045714285714,0.0
风电1-光伏3,1,3,54.0,799.9051648061852,60.72,739.1851648061852,297.48131844948114,414.70384635670405,27.0,16,24,24,61.97527467697523,86.39663465764667,75.0,61.43760686765985,103.6022002109722,252.324,85.12,337.44399999999996,462.46116480618514,4.440892098500626e-15,100.00000000000004,42.18550083768514,1.3160382459017279e-15,True,True,True,3,全部达标,37848.6,10214.400000000001,215813.90954441644,1.6782131240233868e-12,29748.131844948115,62205.57695350561,54.0,3287.671232876712,359172.2895757469,6651.338695847166,SciPy HiGHS MILP,307821.6183120879,462.4611648061851,0.0
风电1-光伏3,1,3,45.0,666.8337362637362,60.72,606.1137362637362,168.90989010989003,414.70384615384614,22.499999999999996,10,24,24,35.189560439560424,86.39663461538461,62.499999999999986,73.72512820512821,103.60220000000001,252.324,85.12,337.44399999999996,329.3897362637362,3.552713678800501e-15,100.00000000000003,50.60391843560523,1.0528305967213823e-15,True,True,True,3,全部达标,37848.6,10214.400000000001,134986.3238065934,1.3425704992187094e-12,16890.989010989004,62205.57692307692,44.99999999999999,3287.671232876712,265478.56097353605,5899.52357718969,SciPy HiGHS MILP,214127.88974065933,329.3897362435774,0.0
风电1-光伏3,1,3,36.0,548.7199999195384,60.72,487.99999991953837,159.99999935630694,310.0000005632314,18.0,8,18,18,33.333333199230616,64.58333345067321,50.0,68.88888901405143,85.59400000000001,252.324,85.12,337.44399999999996,247.2901993337777,36.014199414239314,78.65471046203855,54.93326298111255,10.672644768980726,True,True,True,3,全部达标,37848.6,10214.400000000001,84672.16425188548,13609.765958641037,15999.999935630694,46500.000084484716,36.0,3287.671232876712,184949.06954623657,5137.474154062127,SciPy HiGHS MILP,133598.3983,247.29019933377708,36.01419941423931
风电1-光伏4,1,4,72.0,1056.72,60.72,996.0,480.0,480.0,36.0,24,24,24,100.0,100.0,100.0,53.333333333333336,332.0,252.324,20.480000000000004,272.804,783.9159999999999,0.0,100.00000000000004,25.816110227874933,0.0,True,False,True,2,部分达标,37848.6,2457.6000000000004,463590.34739999997,0.0,48000.0,72000.0,72.0,3287.671232876712,627256.2186328768,8711.89192545662,SciPy HiGHS MILP,583662.3474,783.916,0.0
风电1-光伏4,1,4,63.0,923.6485715125722,60.72,862.9285715125723,351.428572100578,479.9999994119942,31.499999999999993,24,24,24,73.21428585428707,99.99999987749881,87.49999999999997,60.95238087771355,198.92857151257215,252.324,20.480000000000004,272.804,650.8445715125722,0.0,100.0,29.535475765772535,0.0,True,False,True,2,部分达标,37848.6,2457.6000000000004,356813.8331816879,0.0,35142.857210057795,71999.99991179914,62.999999999999986,3287.671232876712,507613.5615364216,8057.358119625739,SciPy HiGHS MILP,464019.69025714276,650.8445714285713,0.0
风电1-光伏4,1,4,54.0,802.7199999669471,60.72,741.999999966947,319.99999973557783,395.0000002313693,26.999999999999993,16,24,24,66.66666661157872,82.29166671486861,74.99999999999997,58.51851855279547,78.00000024062402,252.324,20.480000000000004,272.804,529.9159999669471,3.552713678800501e-15,100.0,33.98495116743484,1.3022953031482314e-15,True,True,True,3,全部达标,37848.6,2457.6000000000004,259780.74742684534,1.3425704992187094e-12,31999.999973557784,59250.000034705394,53.999999999999986,3287.671232876712,394678.6186679852,7308.863308666392,SciPy HiGHS MILP,351084.7474,529.9159999669472,0.0
风电1-光伏4,1,4,45.0,671.7468955803731,60.72,611.0268955803731,208.215164642987,380.3117309373862,22.499999999999993,11,24,24,43.378159300622286,79.23161061195546,62.49999999999998,67.61097438886868,62.72420017488162,252.324,20.480000000000004,272.804,398.94289558037315,3.552713678800501e-15,100.0,40.61112925044542,1.3022953031482314e-15,True,True,True,3,全部达标,37848.6,2457.6000000000004,177248.90280962054,1.3425704992187094e-12,20821.5164642987,57046.759640607925,44.999999999999986,3287.671232876712,298756.0501474039,6639.023336608976,SciPy HiGHS MILP,255162.17888901092,398.9428955803732,0.0
风电1-光伏4,1,4,36.0,548.72,60.72,488.00000000000006,160.0,310.0,18.0,8,24,24,33.33333333333333,64.58333333333334,50.0,68.88888888888887,62.724200084645105,252.324,20.480000000000004,272.804,275.91600000000005,3.552713678800501e-15,100.0,49.7164309666132,1.3022953031482314e-15,True,True,True,3,全部达标,37848.6,2457.6000000000004,102522.36641650581,1.3425704992187094e-12,16000.0,46500.0,36.0,3287.671232876712,208652.23764938253,5795.895490260626,SciPy HiGHS MILP,165058.36639999997,275.9159999910139,0.0
风电2-光伏1,2,1,72.0,1056.72,60.72,996.0,480.0,480.0,36.0,24,24,24,100.0,100.0,100.0,53.333333333333336,332.0,149.464,509.44000000000005,658.904,487.42799999999994,89.612,72.79967946772217,53.87349534408358,13.600160266138921,True,True,True,3,全部达标,22419.6,61132.8,247139.61519999997,33864.3748,48000.0,72000.0,72.0,3287.671232876712,420187.3116328767,5835.934883789954,SciPy HiGHS MILP,333347.2404,487.428,89.61199999999998
风电2-光伏1,2,1,63.0,929.6015933857477,60.72,868.8815933857477,399.0527470859829,438.32884629976485,31.499999999999996,21,23,23,83.13598897624644,91.31850964578435,87.49999999999999,55.66080587933523,226.56200015175546,149.464,509.44000000000005,658.904,360.77759338574776,90.07999999999998,72.65762539004164,61.1900844455589,13.671187304979176,True,True,True,3,全部达标,22419.6,61132.8,149743.00825209552,34041.231999999996,39905.27470859829,65749.32694496473,62.99999999999999,3287.671232876712,308259.4491385353,4893.0071291831,SciPy HiGHS MILP,221419.37788351648,360.7775933857479,90.07999999999998
风电2-光伏1,2,1,54.0,802.7801648351647,60.72,742.0601648351646,320.48131868131856,394.57884615384614,26.999999999999993,18,20,20,66.76694139194137,82.20392628205127,74.99999999999997,58.456125356125376,222.662,149.464,509.44000000000005,658.904,263.2563996159118,119.3802347807471,63.763997553286345,67.20691278290785,18.118001223356835,True,True,True,3,全部达标,22419.6,61132.8,90175.6142284882,45113.790723644335,32048.131868131855,59186.82692307692,53.999999999999986,3287.671232876712,223190.85352892935,4133.163954239432,SciPy HiGHS MILP,136350.78228241758,263.25639961591105,119.3802347807471
风电2-光伏1,2,1,45.0,669.708736263736,60.72,608.9887362637361,191.90989010988994,394.5788461538462,22.499999999999993,10,20,20,39.981227106227074,82.20392628205128,62.49999999999998,70.14735042735046,119.162,149.464,509.44000000000005,658.904,263.2563997183109,252.45166345457477,23.372247412498687,60.69091151669872,38.313876293750646,False,True,False,1,部分达标,22419.6,61132.8,90175.61426354965,95401.48361948381,19190.989010988993,59186.82692307693,44.999999999999986,3287.671232876712,160037.01781100847,3556.3781735779658,SciPy HiGHS MILP,73196.9465681318,263.2563997183094,252.45166345457477
风电2-光伏1,2,1,36.0,548.7199999397736,60.72,487.9999999397736,159.9999995181886,310.000000421585,18.0,8,19,19,33.33333323295596,64.58333342116354,50.0,68.88888898257444,48.10000043844846,149.464,509.44000000000005,658.904,263.2563995013251,373.44039956155154,-13.351990445209475,52.02354579198505,56.67599522260475,False,True,False,1,部分达标,22419.6,61132.8,90175.61418925374,141123.12699431035,15999.99995181886,46500.00006323775,36.0,3287.671232876712,98428.5584428767,2734.1266234132418,SciPy HiGHS MILP,11588.487199999956,263.2563995013253,373.44039956155154
风电2-光伏2,2,2,72.0,1056.72,60.72,996.0,480.0,480.0,36.0,24,24,24,100.0,100.0,100.0,53.333333333333336,332.0,149.464,250.88,400.34400000000005,656.376,0.0,100.0,37.88553259141495,0.0,True,True,True,3,全部达标,22419.6,30105.6,354449.83139999997,0.0,48000.0,72000.0,72.0,3287.671232876712,530334.7026328767,7365.7597587899545,SciPy HiGHS MILP,474521.83139999997,656.376,0.0
风电2-光伏2,2,2,63.0,928.0084299180539,60.72,867.2884299180541,386.30743934443353,449.4809905736206,31.499999999999996,21,24,24,80.48071653009032,93.64187303617096,87.49999999999999,57.07695118395182,203.2884301965654,149.464,250.88,400.34400000000005,527.6644299180541,7.105427357601002e-15,99.99999999999994,43.140125358058626,1.7748304851829929e-15,True,True,True,3,全部达标,22419.6,30105.6,251171.6676205563,2.685140998437419e-12,38630.74393444335,67422.14858604308,62.99999999999999,3287.671232876712,413100.4313739195,6557.1497043479285,SciPy HiGHS MILP,357287.56010531395,527.6644299180541,0.0
风电2-光伏2,2,2,54.0,797.6730219534609,60.72,736.9530219534608,279.6241756276886,430.32884632577236,26.999999999999993,17,23,23,58.25503658910179,89.65184298453592,74.99999999999997,63.75242167789222,183.37020017880317,149.464,250.88,400.34400000000005,397.7970219534609,0.4680000000000075,99.7662010670823,50.130315178608384,0.11689946645884726,True,True,True,3,全部达标,22419.6,30105.6,168497.40916939877,176.85720000000285,27962.41756276886,64549.326948865855,53.999999999999986,3287.671232876712,316699.1677139102,5864.799402109448,SciPy HiGHS MILP,260886.29645494503,397.79702195346096,0.46800000000000097
风电2-光伏2,2,2,45.0,675.3917391783775,60.72,614.6717391783775,237.3739134270217,354.7978257513559,22.499999999999996,15,20,20,49.45289863062952,73.91621369819916,62.499999999999986,63.07516902246327,179.4702,149.464,250.88,400.34400000000005,278.2719391783776,3.2242000000000077,98.38928521471531,58.798439033782266,0.8053573926423294,True,True,True,3,全部达标,22419.6,30105.6,95564.85285694654,1218.4251800000031,23737.39134270217,53219.673862703385,44.99999999999999,3287.671232876712,227161.36411522882,5048.030313671751,SciPy HiGHS MILP,171348.49286521735,278.271939121106,3.2242000000000006
风电2-光伏2,2,2,36.0,548.7199999344743,60.72,487.9999999344743,159.99999947579465,310.00000045867966,17.999999999999996,8,16,16,33.333333224123884,64.58333342889159,49.999999999999986,68.8888889908177,83.2,149.464,250.88,400.34400000000005,277.33639945744744,128.96039952297315,35.57520556173034,49.45757408321809,32.21239721913483,False,True,False,1,部分达标,22419.6,30105.6,94996.60617423,48734.134979731556,15999.999947579465,46500.00006880195,35.99999999999999,3287.671232876712,164611.34244375658,4572.537290104349,SciPy HiGHS MILP,108798.47119999999,277.3363994574469,128.96039952297318
风电2-光伏3,2,3,72.0,1056.72,60.72,996.0,480.0,480.0,36.0,24,24,24,100.0,100.0,100.0,53.333333333333336,332.0,149.464,85.12,234.584,822.136,0.0,100.00000000000003,22.199258081611024,0.0,True,False,True,2,部分达标,22419.6,10214.400000000001,475474.8554,0.0,48000.0,72000.0,72.0,3287.671232876712,631468.5266328767,8770.396203234399,SciPy HiGHS MILP,595546.8554,822.136,0.0
风电2-光伏3,2,3,63.0,923.6485715147237,60.72,862.9285715147237,351.42857211778914,479.9999993969345,31.5,18,24,24,73.21428585787274,99.99999987436135,87.5,60.952380875801204,198.92857151472367,149.464,85.12,234.584,689.0645715147236,0.0,100.00000000000003,25.39753833162947,0.0,True,False,True,2,部分达标,22419.6,10214.400000000001,368698.3411834143,0.0,35142.857211778915,71999.99990954017,63.0,3287.671232876712,511825.8695376101,8124.220151390637,SciPy HiGHS MILP,475904.19825714285,689.0645714285715,0.0
风电2-光伏3,2,3,54.0,802.5757417240374,60.72,741.8557417240374,318.84593379229835,396.00980793173903,27.000000000000004,16,23,23,66.42623620672883,82.50204331911229,75.00000000000001,58.66811969359096,79.05020024900863,149.464,85.12,234.584,568.4597417240375,0.46800000000000574,99.60099580534047,29.170580149493215,0.19950209732974364,True,False,True,2,部分达标,22419.6,10214.400000000001,272157.94517173705,176.8572000000022,31884.593379229835,59401.47118976086,54.00000000000001,3287.671232876712,399242.8237736044,7393.3856254371185,SciPy HiGHS MILP,363321.1525043956,568.4597417240375,0.46800000000000097
风电2-光伏3,2,3,45.0,669.5043131614295,60.72,608.7843131614296,190.27450529143658,396.0098078699931,22.5,10,23,23,39.64052193571595,82.50204330624857,62.5,70.40174362133209,79.05020018479284,149.464,85.12,234.584,435.38831316142966,0.46800000000000574,99.60099580534047,34.96855739352801,0.19950209732974364,True,True,True,3,全部达标,22419.6,10214.400000000001,191330.359450287,176.8572000000022,19027.450529143658,59401.471180498964,45.0,3287.671232876712,305549.09519280633,6789.979893173474,SciPy HiGHS MILP,269627.423932967,435.3883131614296,0.46800000000000097
风电2-光伏3,2,3,36.0,548.7199999901827,60.72,487.9999999901828,159.99999992146172,310.000000068721,18.0,8,22,22,33.33333331697119,64.58333334765022,50.0,68.88888890416021,79.05019999999999,149.464,85.12,234.584,314.60399999018273,0.4680000000000075,99.60099580534053,42.66584050229418,0.19950209732974436,True,True,True,3,全部达标,22419.6,10214.400000000001,117965.9676155781,176.85720000000285,15999.999992146171,46500.000010308155,36.0,3287.671232876712,216246.78165090916,6006.855045858588,SciPy HiGHS MILP,180325.1104,314.60399999018284,0.46800000000000097
风电2-光伏4,2,4,72.0,1056.72,60.72,996.0,480.0,480.0,36.0,24,24,24,100.0,100.0,100.0,53.333333333333336,332.0,149.464,20.480000000000004,169.94400000000002,886.776,0.0,100.00000000000004,16.082216670451967,0.0,True,False,True,2,部分达标,22419.6,2457.6000000000004,522724.3914000001,0.0,48000.0,72000.0,72.0,3287.671232876712,670961.2626328768,9318.906425456622,SciPy HiGHS MILP,642796.3914,886.776,0.0
风电2-光伏4,2,4,63.0,923.6485715232766,60.72,862.9285715232766,351.4285721862137,479.99999933706295,31.499999999999996,18,24,24,73.21428587212786,99.99999986188811,87.49999999999999,60.952380868198475,198.92857152327662,149.464,20.480000000000004,169.94400000000002,753.7045715232767,0.0,99.9999999999999,18.399205632909627,0.0,True,False,True,2,部分达标,22419.6,2457.6000000000004,415947.8771902772,0.0,35142.85721862137,71999.99990055944,62.99999999999999,3287.671232876712,551318.6055423347,8751.088976862457,SciPy HiGHS MILP,523153.7342571428,753.7045714285713,0.0
风电2-光伏4,2,4,54.0,802.7199999613804,60.72,741.9999999613804,319.9999996910424,395.000000270338,27.0,16,24,24,66.6666666023005,82.29166672298707,75.0,58.51851855856859,78.00000028115146,149.464,20.480000000000004,169.94400000000002,632.7759999613803,0.0,100.00000000000004,21.171018537992847,0.0,True,False,True,2,部分达标,22419.6,2457.6000000000004,318914.79143136693,0.0,31999.99996910424,59250.000040550694,54.0,3287.671232876712,438383.6626738986,8118.2159754425675,SciPy HiGHS MILP,410218.7914,632.7759999613804,0.0
风电2-光伏4,2,4,45.0,674.9562087912087,60.72,614.2362087912088,233.8896703296703,357.84653846153844,22.5,12,22,22,48.72701465201465,74.55136217948719,62.5,63.61716239316239,39.360400000000006,149.464,20.480000000000004,169.94400000000002,506.6960087912088,1.6838000000000002,98.01840606317369,24.929054330997307,0.9907969684131244,True,False,True,2,部分达标,22419.6,2457.6000000000004,235127.42377094037,636.3080200000002,23388.96703296703,53676.980769230766,45.0,3287.671232876712,339766.93478601484,7550.376328578108,SciPy HiGHS MILP,311602.063521978,506.6960087618731,1.6837999999999993
风电2-光伏4,2,4,36.0,548.7199999999999,60.72,487.99999999999994,160.0,310.0,18.0,8,20,20,33.33333333333333,64.58333333333334,50.0,68.88888888888889,35.46040000000001,149.464,20.480000000000004,169.94400000000002,382.13179999999994,3.3558,96.05069905380591,30.359418282548482,1.9746504730970198,True,True,True,3,全部达标,22419.6,2457.6000000000004,159032.66332,1268.1568200000002,16000.0,46500.0,36.0,3287.671232876712,248465.37773287672,6901.816048135464,SciPy HiGHS MILP,220300.50650000002,382.13179927400245,3.355799999999999
风电3-光伏1,3,1,72.0,1056.72,60.72,996.0,480.0,480.0,36.0,24,24,24,100.0,100.0,100.0,53.333333333333336,332.0,271.40000000000003,509.44000000000005,780.8399999999999,402.2482,126.3682,67.63275446954563,61.93426830191535,16.18362276522719,True,True,True,3,全部达标,40710.00000000001,61132.8,202880.10468,47754.54278,48000.0,72000.0,72.0,3287.671232876712,380328.03313287674,5282.333793512177,SciPy HiGHS MILP,275197.56190000003,402.2482,126.36819999999997
风电3-光伏1,3,1,63.0,927.6479945054946,60.72,866.9279945054946,383.4239560439562,452.00403846153847,31.500000000000004,20,24,24,79.87999084249088,94.1675080128205,87.50000000000001,57.39733821733821,240.7842,271.40000000000003,509.44000000000005,780.8399999999999,273.4381945054946,126.6302,67.56564725167767,70.52349639894844,16.217176374161163,True,True,True,3,全部达标,40710.00000000001,61132.8,106904.91635916283,47853.55258,38342.39560439562,67800.60576923077,63.00000000000001,3287.671232876712,270387.836385666,4291.870418820095,SciPy HiGHS MILP,165257.36513626366,273.43819450549466,126.63019999999997
风电3-光伏1,3,1,54.0,798.984010989011,60.72,738.2640109890111,290.1120879120882,421.1519230769229,27.0,16,24,24,60.44001831501837,87.73998397435894,75.0,62.39287749287746,199.3841999999998,271.40000000000003,509.44000000000005,780.8399999999999,223.32619971831215,205.18218872930103,47.445779230238955,72.04872730283162,26.27711038488052,False,True,False,1,部分达标,40710.00000000001,61132.8,76466.89078355007,77538.34912080287,29011.20879120882,63172.78846153844,54.0,3287.671232876712,196297.0101483712,3635.1298175624293,SciPy HiGHS MILP,91166.53890549445,223.32619971831332,205.18218872930103
风电3-光伏1,3,1,45.0,665.9699999125562,60.72,605.2499999125564,161.99999930045126,420.75000061210505,22.499999999999993,9,24,24,33.74999985426068,87.65625012752189,62.49999999999998,74.80000010881868,139.35419987267778,271.40000000000003,509.44000000000005,780.8399999999999,223.32619940328928,338.19619949073297,13.376312819339939,66.46602708341027,43.31184359033003,False,True,False,1,部分达标,40710.00000000001,61132.8,76466.89067568624,127804.343787548,16199.999930045127,63112.50009181576,44.999999999999986,3287.671232876712,133150.51814287587,2958.900403175019,SciPy HiGHS MILP,28020.04689999924,223.32619942197078,338.19619949073297
风电3-光伏1,3,1,36.0,548.7199999397737,60.72,487.9999999397737,159.99999951818927,310.00000042158445,18.0,8,16,16,33.3333332329561,64.58333342116343,50.0,68.88888898257431,103.99999900000074,271.40000000000003,509.44000000000005,780.8399999999999,223.3261995013259,455.4461995615522,-16.655447866797854,59.30051765457104,58.327723933398936,False,True,False,1,部分达标,40710.00000000001,61132.8,76466.89070925399,172113.11881431058,15999.999951818927,46500.00006323767,36.0,3287.671232876712,72020.24314287674,2000.562309524354,SciPy HiGHS MILP,-33110.22810000003,223.32619950132852,455.4461995615522
风电3-光伏2,3,2,72.0,1056.72,60.72,996.0,480.0,480.0,36.0,24,24,24,100.0,100.0,100.0,53.333333333333336,332.0,271.40000000000003,250.88,522.28,538.1664000000001,3.7264000000000053,98.57302596308493,49.07199636611401,0.7134870184575334,True,True,True,3,全部达标,40710.00000000001,30105.6,287056.84836,1408.2065600000021,48000.0,72000.0,72.0,3287.671232876712,479823.91303287674,6664.22101434551,SciPy HiGHS MILP,405720.6418,538.1664,3.7264000000000053
风电3-光伏2,3,2,63.0,928.7548626373627,60.72,868.0348626373628,392.2789010989013,444.2559615384615,31.500000000000007,21,24,24,81.7247710622711,92.55332532051281,87.50000000000003,56.41345543345542,213.60399999999998,271.40000000000003,250.88,522.28,410.20126263736284,3.726399999999998,98.57302596308493,55.833204310497585,0.713487018457532,True,True,True,3,全部达标,40710.00000000001,30105.6,186243.60392593418,1408.2065599999994,39227.89010989013,66638.39423076923,63.000000000000014,3287.671232876712,364867.9529394703,5791.554808563021,SciPy HiGHS MILP,290764.6817065934,410.20126263736273,3.7264000000000017
