日氨产量(t/day),年氨产量(t/year),年综合净成本(¥/year),综合净吨氨成本(¥/t),全部达标天数(day),部分达标天数(day),全部不达标天数(day),全年新能源自发自用比例(%),全年新能源供电占比(%),全年上网电量比例(%)
72,25920.0,187358379.3823356,7228.33253789875,270,90,0,85.90179393049776,41.86760368561839,7.049103034751101
63,22680.0,145490145.9945702,6414.909435386693,300,60,0,85.88901315614389,47.774404671331546,7.055493421928027
54,19440.0,110287161.55732995,5673.207899039607,240,120,0,78.63340129512238,53.14789847052892,10.683299352438793
45,16200.0,80889979.67947243,4993.208622189656,225,135,0,56.79354672091444,55.771766594138626,21.60322663954277
36,12960.0,54816124.19738503,4229.639212761191,165,195,0,26.081120605349955,54.693557646832794,36.959439697325024
