最低成本对应日产量(t/day),因素,水平,平均吨氨成本(¥/t),平均购电量(MWh),平均售电量(MWh),平均达标指标数
36.0,风电,1,4248.733710287308,250.9266495841072,171.0106496343358,2.0
36.0,风电,2,5053.833751877911,309.3321497372388,126.55614977113117,2.0
36.0,风电,3,4119.854483779034,238.74464959265663,177.90464964185267,2.0
36.0,风电,4,3512.676508841074,199.12314948128082,234.992149543928,1.5
36.0,风电,5,3855.07814289206,223.31019943961624,201.0501995072954,2.0
36.0,风电,6,4587.658678889757,269.9130996432177,143.99309968630746,2.0
36.0,光伏,1,2070.807972527215,227.18653276302942,447.8185328319068,1.0
36.0,光伏,2,3910.441884065464,241.52723282734485,203.18256622178794,1.0
36.0,光伏,3,5139.08135769713,247.74079960534516,43.63613298778072,2.6666666666666665
36.0,光伏,4,5798.2256367549535,277.77869978969215,9.034033148424987,3.0
